DN,objectClass,distinguishedName,sAMAccountName,sn,givenname,userPrincipalName,description,mail,telephoneNumber,wWWHomePage
"CN=Mazutti Laura,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Mazutti Laura,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",laura.mazutti,Mazutti,Laura,Laura Mazutti,Atendente,laura.mazutti@popovici.lab,1198563-8585,www.eduardopopovici.com
"CN=Pauluci Erika,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Pauluci Erika,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",erika.pauluci,Pauluci,Erika,Erika Pauluci,Atendente,erika.pauluci@popovici.lab,1198563-8586,www.eduardopopovici.com
"CN=Brabo Rick,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Brabo Rick,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",rick.brabo,Brabo,Rick,Rick Brabo,Atendente,rick.brabo@popovici.lab,1198563-8587,www.eduardopopovici.com
"CN=Lima Renner,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Lima Renner,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",renner.lima,Lima,Renner,Renner Lima,Atendente,renner.lima@popovici.lab,1198563-8588,www.eduardopopovici.com
"CN=Charmosa Penelope,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Charmosa Penelope,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",penelope.charmosa,Charmosa,Penelope,Penelope Charmosa,Atendente,penelope.charmosa@popovici.lab,1198563-8589,www.eduardopopovici.com
"CN=Bravo Paulo,OU=QUALIDADE,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Bravo Paulo,OU=QUALIDADE,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",paulo.bravo,Bravo,Paulo,Paulo Bravo,Analista de Qualidade,paulo.bravo@popovici.lab,1198563-8590,www.eduardopopovici.com
"CN=Bravo Jony,OU=QUALIDADE,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Bravo Jony,OU=QUALIDADE,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",jony.bravo,Bravo,Jony,Jony Bravo,Analista de Qualidade,jony.bravo@popovici.lab,1198563-8591,www.eduardopopovici.com
"CN=Santos Cristina,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Santos Cristina,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",cristina.santos,Santos,Cristina,Cristina Santos,Dev Phyton,cristina.santos@popovici.lab,1198563-8592,www.eduardopopovici.com
"CN=Lopes Pietro,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Lopes Pietro,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",pietro.lopes,Lopes,Pietro,Pietro Lopes,Dev Phyton,pietro.lopes@popovici.lab,1198563-8593,www.eduardopopovici.com
"CN=Souza Peterson,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Souza Peterson,OU=DEV,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",peterson.souza,Souza,Peterson,Peterson Souza,Dev Java,peterson.souza@popovici.lab,1198563-8594,www.eduardopopovici.com
"CN=Santos Luciana,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Santos Luciana,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",luciana.santos,Santos,Luciana,Luciana Santos,Anl Seguranca I,luciana.santos@popovici.lab,1198563-8595,www.eduardopopovici.com
"CN=Ribeiro Mariana,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Ribeiro Mariana,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",mariana.ribeiro,Ribeiro,Mariana,Mariana Ribeiro,Anl Seguranca III,mariana.ribeiro@popovici.lab,1198563-8596,www.eduardopopovici.com
"CN=Penso Pedro,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Penso Pedro,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",pedro.penso,Penso,Pedro,Pedro Penso,Pentester,pedro.penso@popovici.lab,1198563-8597,www.eduardopopovici.com
"CN=Ribeiro Paulinha,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Ribeiro Paulinha,OU=SEGURANCA,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",paulinha.ribeiro,Ribeiro,Paulinha,Paulinha Ribeiro,Penterter,paulinha.ribeiro@popovici.lab,1198563-8598,www.eduardopopovici.com
"CN=Remo Rita,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",user,"CN=Remo Rita,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",rita.remo,Remo,Rita,Rita Remo,Comprador,rita.remo@popovici.lab,1198563-8599,www.eduardopopovici.com
"CN=Silva Luca,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",user,"CN=Silva Luca,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",luca.silva,Silva,Luca,Luca Silva,Comprador,luca.silva@popovici.lab,1198563-8600,www.eduardopopovici.com
"CN=Silva Patricia,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",user,"CN=Silva Patricia,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",patricia.silva,Silva,Patricia,Patricia Silva,Comprador,patricia.silva@popovici.lab,1198563-8601,www.eduardopopovici.com
"CN=Cabreiro Peterpan,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",user,"CN=Cabreiro Peterpan,OU=COMPRAS,OU=DEPTOS,OU=FILIAL-01-RJ,OU=02-FILIAIS,DC=popovici,DC=lab",peterpan.cabreiro,Cabreiro,Peterpan,Peterpan Cabreiro,Coordenador - Compras e Vendas,peterpan.cabreiro@popovici.lab,1198563-8602,www.eduardopopovici.com
"CN=Amui Max,OU=DB,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Amui Max,OU=DB,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",max.amui,Amui,Max,Max Amui,DBA,max.amui@popovici.lab,1198563-8603,www.eduardopopovici.com
"CN=Ricardo Jose,OU=DB,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Ricardo Jose,OU=DB,OU=EQUIPES,OU=TI,OU=01-MATRIZ-SP,DC=popovici,DC=lab",jose.ricardo,Ricardo,Jose,Jose Ricardo,DBA,jose.ricardo@popovici.lab,1198563-8604,www.eduardopopovici.com
"CN=Limeira Renata,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Limeira Renata,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",renata.limeira,Limeira,Renata,Renata Limeira,Atendente,renata.limeira@popovici.lab,1198563-8605,www.eduardopopovici.com
"CN=Panca Jose,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Panca Jose,OU=TMKT,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",jose.panca,Panca,Jose,Jose Panca,Atendente,jose.panca@popovici.lab,1198563-8606,www.eduardopopovici.com
"CN=Ricardo Flavio,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",user,"CN=Ricardo Flavio,OU=DIRETORIA,OU=DEPTOS,OU=01-MATRIZ-SP,DC=popovici,DC=lab",flavio.ricardo,Ricardo,Flavio,Flavio Ricardo,Diretor Executivo,flavio.ricardo@popovici.lab,1198563-8607,www.eduardopopovici.com
